OnboardingID,CandidateID,SignupDate,CurrentStep,CompletionFlag,DropoutFlag
7eb0804a-6fad-4de8-b3ff-0286106f5d64,ae462336-7c4e-4d91-9edc-cda72864f684,2025-08-27,Orientation Completed,False,False
90b30b27-3bab-4e79-8b49-e013ede981b6,f793545c-657d-4258-a333-822f9975d10c,2025-09-11,Onboarding Completed,True,False
001b5885-cb47-4c6e-9e81-6a7c21a8a2f5,257b1717-b6ee-4763-9e6d-93c654fbe554,2026-01-02,Onboarding Completed,True,False
209ef42e-85e8-4818-a5ac-e3c440f37c9c,71dbbcfc-659d-417b-ae32-6e338bba1a55,2025-08-12,Onboarding Completed,True,False
57a9f3ef-8d68-4d6b-8ddd-3f0885adabe1,cac7dd84-0d42-44ee-88fb-fbbbbfc90698,2025-10-06,Assessment Scheduled,False,True
39ab1d73-2b41-4c89-b0e0-f4ba0be0d4b7,8381c040-285e-4030-aea8-23a38a3f9b2a,2025-12-17,Training In Progress,False,True
84c85456-df32-4084-a586-cfe5a5c93684,9669abfa-7d60-43c1-a8dc-8fb709759d1c,2025-10-06,Onboarding Completed,True,False
76429193-bf63-4156-93ec-772807e94762,ecec9b3f-c372-43f7-bc1c-bc299207ebf3,2025-06-20,Assessment Completed,False,False
a2e15f61-c912-4c1d-9a75-4381d1babc81,30d94b0b-f8c1-4c80-95a0-29852f94ac53,2025-10-09,Onboarding Completed,True,False
d505718a-ef6b-417f-b927-b732c647c926,15b724b4-d1ef-4bd6-b529-d166a38224c2,2025-07-10,Signed Up,False,False
cb8bd7a7-c49e-4922-bfc0-95ca6b1af321,6ac4dd2b-29cc-4c99-a39f-17bde5b05040,2025-08-10,Training In Progress,False,True
723469af-b989-418a-8a05-e0c95376a985,560c96d1-bbb5-40dd-b4d8-260e75afbb5d,2025-09-19,Placement Support,False,False
daaba147-7d0d-4e77-aa35-8d13cc85cf88,523507ce-6ae9-4bd0-a5f8-c48576bcabe7,2025-12-19,Orientation Completed,False,False
