OutcomeID,CandidateID,ProgramCompletion,JobPlacement,TimeToPlacement,FeedbackScore
8c4bc3d9-4d07-46ba-a29a-b13863c6bfac,ae462336-7c4e-4d91-9edc-cda72864f684,False,False,,7
a8b48956-4a92-43b9-9fdb-b4453e6f2502,f793545c-657d-4258-a333-822f9975d10c,True,True,117.0,9
00f3ea3f-16e2-49e2-98c3-e9d082682934,257b1717-b6ee-4763-9e6d-93c654fbe554,True,True,62.0,8
7392513b-4496-49ec-bddd-d114d1a1b665,71dbbcfc-659d-417b-ae32-6e338bba1a55,True,True,84.0,8
bfc1e1c2-7bfc-45a0-af19-c92f8d6e03d6,cac7dd84-0d42-44ee-88fb-fbbbbfc90698,False,False,,2
afeda7a0-88ea-48c1-a699-28d0d8e9f05e,8381c040-285e-4030-aea8-23a38a3f9b2a,False,False,,3
a6380a1c-19df-4d9d-9e6f-9d2ef54c533a,9669abfa-7d60-43c1-a8dc-8fb709759d1c,True,True,95.0,10
55364a52-d4f4-4d20-bcf7-bbb2508c7d6b,ecec9b3f-c372-43f7-bc1c-bc299207ebf3,False,False,,4
e5a2cdf9-d1f0-4332-a36d-1594935ecabb,30d94b0b-f8c1-4c80-95a0-29852f94ac53,True,True,42.0,10
6d96422d-945f-4c49-97f9-cb9003712a15,15b724b4-d1ef-4bd6-b529-d166a38224c2,False,False,,7
c14ed019-4d5c-44d7-a554-0c62ef5d0bdb,6ac4dd2b-29cc-4c99-a39f-17bde5b05040,False,False,,5
a2e23043-bda1-47cf-a86f-1997a35cfd39,560c96d1-bbb5-40dd-b4d8-260e75afbb5d,False,False,,7
3c816521-f4d3-4b89-a65d-4758c2182294,523507ce-6ae9-4bd0-a5f8-c48576bcabe7,False,True,100.0,6
51fe98ff-2536-4836-982d-ca46c73b2c8e,a8ed5bd4-d642-4659-9a29-d46d713ee756,False,False,,2
0c4bb8f4-782e-4d98-b234-e79d8a2e75dc,ee80dff5-79b9-4bfb-9c07-df0c0f98e117,True,True,44.0,7
b6335d35-4801-4936-86d9-b516589c21ec,29e1a67a-f89e-4993-9154-a965803b642d,False,False,,6
24e842d7-451d-4b8f-9ade-e63db79917f7,7573db21-ba3f-4aa8-ba38-f921976a04a2,True,False,,6
0566095c-1fe6-4656-b1cd-cd0ffd417cdb,37eb5be1-c39e-4e8f-b1bd-fd588c4a9f91,True,False,,6
0251a5b0-a9cd-4d27-ac26-e0f250c20073,d5fc7501-b76d-413b-a8e4-15ee3fe17c7d,False,False,,2
a7f82f2d-74cd-4fca-bb3f-e46982afaa85,c876202a-08c8-486e-a251-a6b822f2e53c,True,False,,8
d3e2a328-bc29-4ecd-a66a-bbcb2a48b661,f44c4b97-2cff-4948-9b37-387beab6ee0b,False,True,83.0,4
df5d2093-fbbf-4143-ba37-2fa264f35a78,2030ebd2-62d5-46e1-b96d-a560da3c1b4c,True,True,75.0,10
ee27f8ae-e21e-41a1-9bcc-87164d8be852,88d642dc-3095-4f3d-86dc-f401208e2aa7,True,True,108.0,9
baf38831-666b-4a1b-80d7-198e7a3c705c,b6244bfc-25f6-4cb1-b8b7-d0e6ba74f00f,True,False,,9
3f603e4f-cef1-4bc0-aeae-13b2bf86112f,633c90f0-f414-456e-852c-9448e1c94de8,True,True,17.0,7
7f08bc71-a145-4c09-9c1b-f76ae6f41759,9e4afbd3-caaf-4e7b-b434-fbb60d96ce97,False,False,,8
182d1576-4303-4541-b758-574e5317071d,de48507e-1e7b-4248-a620-0ed6bf00b8e1,False,False,,4
